No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,JEF,Jefferies Financial Group Inc.,Financial,Financial Conglomerates,USA,4.38B,13.19,16.85,2.56%,"771,865"
2,RILY,"B. Riley Financial, Inc.",Financial,Financial Conglomerates,USA,687.19M,26.25,27.4,1.48%,"347,779"
3,VOYA,"Voya Financial, Inc.",Financial,Financial Conglomerates,USA,6.26B,12.6,50.81,2.46%,"994,798"
1,BAC,Bank of America Corporation,Financial,Banks - Diversified,USA,220.67B,12.55,26.11,2.51%,"62,852,765"
2,C,Citigroup Inc.,Financial,Banks - Diversified,USA,105.94B,8.99,52.12,2.42%,"21,452,516"
3,EWBC,"East West Bancorp, Inc.",Financial,Banks - Diversified,USA,5.06B,8.88,36.89,3.22%,"818,751"
4,JPM,JPMorgan Chase & Co.,Financial,Banks - Diversified,USA,296.35B,13.39,99.38,2.20%,"14,719,093"
5,WFC,Wells Fargo & Company,Financial,Banks - Diversified,USA,99.87B,28.65,25.07,3.42%,"46,169,840"
1,AC,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,899.02M,-,41.07,2.27%,"25,738"
2,AMRK,"A-Mark Precious Metals, Inc.",Financial,Capital Markets,USA,181.90M,15.07,25.37,-1.86%,"43,917"
3,AMTD,TD Ameritrade Holding Corporation,Financial,Capital Markets,USA,19.39B,10.32,36.84,2.76%,"2,633,483"
4,BGCP,"BGC Partners, Inc.",Financial,Capital Markets,USA,1.48B,52.45,2.88,2.30%,"5,002,253"
5,COHN,Cohen & Company Inc.,Financial,Capital Markets,USA,25.68M,-,19.02,-7.45%,"924,811"
6,COWN,Cowen Inc.,Financial,Capital Markets,USA,561.44M,4.74,17.06,1.55%,"486,126"
7,DFIN,"Donnelley Financial Solutions, Inc.",Financial,Capital Markets,USA,409.20M,9.42,11.83,-2.47%,"347,026"
8,ETFC,E*TRADE Financial Corporation,Financial,Capital Markets,USA,11.36B,15.21,52.41,2.00%,"1,158,809"
9,EVR,Evercore Inc.,Financial,Capital Markets,USA,2.83B,11.12,61.96,2.63%,"338,165"
10,FOCS,Focus Financial Partners Inc.,Financial,Capital Markets,USA,2.78B,164.11,38.73,-3.03%,"441,790"
11,GBL,"GAMCO Investors, Inc.",Financial,Capital Markets,USA,335.29M,5.9,13.3,9.83%,"15,943"
12,GHL,"Greenhill & Co., Inc.",Financial,Capital Markets,USA,224.28M,28.36,12.11,1.42%,"92,463"
13,GS,"The Goldman Sachs Group, Inc.",Financial,Capital Markets,USA,70.24B,11.05,208.27,1.97%,"3,033,116"
14,HLI,"Houlihan Lokey, Inc.",Financial,Capital Markets,USA,3.98B,20.1,57,-0.42%,"234,567"
15,HUSN,Hudson Capital Inc.,Financial,Capital Markets,USA,18.62M,-,0.55,-5.93%,"248,455"
16,IBKR,"Interactive Brokers Group, Inc.",Financial,Capital Markets,USA,21.11B,25.14,51.21,0.77%,"267,145"
17,JMP,JMP Group LLC,Financial,Capital Markets,USA,55.40M,-,2.83,1.07%,"12,781"
18,LPLA,LPL Financial Holdings Inc.,Financial,Capital Markets,USA,6.54B,13.51,85.09,2.85%,"544,447"
19,MARA,"Marathon Patent Group, Inc.",Financial,Capital Markets,USA,144.80M,-,4.38,-13.95%,"26,449,985"
20,MC,Moelis & Company,Financial,Capital Markets,USA,1.99B,21.5,31.16,0.26%,"378,773"
