No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,720.73M,-,10.2,10.75%,"677,946"
2,AGS,"PlayAGS, Inc.",Consumer Cyclical,Gambling,USA,141.71M,-,4.11,3.27%,"452,892"
3,CHDN,Churchill Downs Incorporated,Consumer Cyclical,Gambling,USA,6.32B,-,162.72,1.60%,"277,996"
4,CPHC,Canterbury Park Holding Corporation,Consumer Cyclical,Gambling,USA,49.64M,16.53,10.45,-1.04%,398
5,EVRI,Everi Holdings Inc.,Consumer Cyclical,Gambling,USA,592.19M,-,6.94,0.14%,"1,952,513"
6,SGMS,Scientific Games Corporation,Consumer Cyclical,Gambling,USA,1.90B,-,19.51,-2.60%,"850,341"
1,BBX,BBX Capital Corporation,Consumer Cyclical,Resorts & Casinos,USA,273.77M,-,14.96,6.48%,"32,411"
2,BXG,Bluegreen Vacations Corporation,Consumer Cyclical,Resorts & Casinos,USA,427.69M,20.37,5.44,-7.80%,"290,215"
3,BYD,Boyd Gaming Corporation,Consumer Cyclical,Resorts & Casinos,USA,2.87B,-,25.65,-0.43%,"3,006,934"
4,CNTY,"Century Casinos, Inc.",Consumer Cyclical,Resorts & Casinos,USA,142.01M,-,4.69,-2.29%,"702,447"
5,CZR,"Eldorado Resorts, Inc.",Consumer Cyclical,Resorts & Casinos,USA,6.78B,-,37.07,-1.80%,"6,643,231"
6,FLL,"Full House Resorts, Inc.",Consumer Cyclical,Resorts & Casinos,USA,45.50M,-,1.98,17.86%,"1,218,955"
7,GDEN,"Golden Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,USA,294.26M,-,10.72,2.19%,"531,359"
8,HGV,Hilton Grand Vacations Inc.,Consumer Cyclical,Resorts & Casinos,USA,1.83B,23.04,21.82,1.35%,"540,167"
9,LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,USA,34.54B,100.91,44.2,-2.26%,"5,839,491"
10,MCRI,"Monarch Casino & Resort, Inc.",Consumer Cyclical,Resorts & Casinos,USA,723.70M,57.88,40.34,1.36%,"89,128"
11,MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,USA,9.11B,5,19.03,3.09%,"34,438,645"
12,MTN,"Vail Resorts, Inc.",Consumer Cyclical,Resorts & Casinos,USA,7.74B,50.13,196.72,1.91%,"215,558"
13,PENN,"Penn National Gaming, Inc.",Consumer Cyclical,Resorts & Casinos,USA,5.96B,-,49,11.72%,"15,869,705"
14,PLYA,Playa Hotels & Resorts N.V.,Consumer Cyclical,Resorts & Casinos,USA,487.49M,-,3.81,5.10%,"721,750"
15,RRR,"Red Rock Resorts, Inc.",Consumer Cyclical,Resorts & Casinos,USA,1.58B,-,13.92,3.49%,"2,203,578"
16,TRWH,"Twin River Worldwide Holdings, Inc.",Consumer Cyclical,Resorts & Casinos,USA,713.65M,33.27,23.82,1.58%,"240,114"
17,VAC,Marriott Vacations Worldwide Corporation,Consumer Cyclical,Resorts & Casinos,USA,3.67B,-,90.85,1.72%,"245,612"
18,WYNN,"Wynn Resorts, Limited",Consumer Cyclical,Resorts & Casinos,USA,8.26B,-,74.1,-3.23%,"4,871,301"
